Section	section_id	req_id	status	class_def	method	module	filename_line	Bug		
	9.5	A-1-3	Test Available	android.host.multiuser.CreateUsersPermissionTest	testCanCreateGuestUserWhenUserLimitReached()	CtsMultiUserHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/multiuser/src/android/host/multiuser/CreateUsersPermissionTest.java	
	7.8.3		Test Available	com.android.cts.verifier.audio.HifiUltrasoundSpeakerTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/HifiUltrasoundSpeakerTestActivity.java	
	7.8.2.2	H-2-1	Test Available	com.android.cts.verifier.audio.USBAudioPeripheralNotificationsTest		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/USBAudioPeripheralNotificationsTest.java	
	7.8.2.2	H-3-1	Test Available	com.android.cts.verifier.audio.USBAudioPeripheralNotificationsTest		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/USBAudioPeripheralNotificationsTest.java	
	7.8.2.2	H-4-2	Test Available	com.android.cts.verifier.audio.USBAudioPeripheralNotificationsTest		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/USBAudioPeripheralNotificationsTest.java	
	7.8.2.2	H-4-3	Test Available	com.android.cts.verifier.audio.USBAudioPeripheralNotificationsTest		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/USBAudioPeripheralNotificationsTest.java	
	7.8.2.2	H-4-4	Test Available	com.android.cts.verifier.audio.USBAudioPeripheralNotificationsTest		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/USBAudioPeripheralNotificationsTest.java	
	7.8.2.2	H-4-5	Test Available	com.android.cts.verifier.audio.USBAudioPeripheralNotificationsTest		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/audio/USBAudioPeripheralNotificationsTest.java	
	3.16	C-1-2	Test Available	com.android.cts.verifier.companion.CompanionDeviceTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/companion/CompanionDeviceTestActivity.java	
	3.16	C-1-3	Test Available	com.android.cts.verifier.companion.CompanionDeviceTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/companion/CompanionDeviceTestActivity.java	
	3.16	H-1-1	Test Available	com.android.cts.verifier.companion.CompanionDeviceTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/companion/CompanionDeviceTestActivity.java	
	3.16	C-1-2	Test Available	com.android.cts.verifier.companion.CompanionDeviceServiceTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/companion/CompanionDeviceServiceTestActivity.java	
	3.16	C-1-3	Test Available	com.android.cts.verifier.companion.CompanionDeviceServiceTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/companion/CompanionDeviceServiceTestActivity.java	
	3.16	H-1-1	Test Available	com.android.cts.verifier.companion.CompanionDeviceServiceTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/companion/CompanionDeviceServiceTestActivity.java	
	7.3.8	C-1-1	Test Available	com.android.cts.verifier.sensors.BatchingTestActivity	testProximity_batching()	None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/sensors/BatchingTestActivity.java	
	7.3.8	C-1-2	Test Available	com.android.cts.verifier.sensors.BatchingTestActivity	testProximity_batching()	None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/sensors/BatchingTestActivity.java	
	7.3.8	C-1-1	Test Available	com.android.cts.verifier.sensors.BatchingTestActivity	testProximity_flush()	None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/sensors/BatchingTestActivity.java	
	7.3.8	C-1-2	Test Available	com.android.cts.verifier.sensors.BatchingTestActivity	testProximity_flush()	None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/sensors/BatchingTestActivity.java	
	3.8.2	C-1-2	Test Available	com.android.cts.verifier.widget.WidgetTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/widget/WidgetTestActivity.java	
	3.8.2	C-1-3	Test Available	com.android.cts.verifier.widget.WidgetTestActivity		None	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/widget/WidgetTestActivity.java	
	8.2		Test Available	android.filesystem.cts.RandomRWTest	testRandomRead()	CtsFileSystemTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/tests/filesystem/src/android/filesystem/cts/RandomRWTest.java	
	8.2		Test Available	android.filesystem.cts.RandomRWTest	testRandomUpdate()	CtsFileSystemTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/tests/filesystem/src/android/filesystem/cts/RandomRWTest.java	
	8.2		Test Available	android.filesystem.cts.SequentialRWTest	testSingleSequentialWrite()	CtsFileSystemTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/tests/filesystem/src/android/filesystem/cts/SequentialRWTest.java	
	8.2		Test Available	android.filesystem.cts.SequentialRWTest	testSingleSequentialRead()	CtsFileSystemTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/tests/filesystem/src/android/filesystem/cts/SequentialRWTest.java	
	7.5.4	C-1-1	Test Available	android.hardware.camera2.cts.LogicalCameraDeviceTest	testDefaultFov()	CtsCameraTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/tests/camera/src/android/hardware/camera2/cts/LogicalCameraDeviceTest.java	
